subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFI,4,900,0.2,0.18269230769230768,5,0.1,0.09090909090909091,0.0,0.09090909090909091,0.5555555555555556,0.0,0.1,0.43478260869565216,0.0
YFI,8,60,0.2,0.20192307692307693,9,0.1,0.36363636363636365,0.0,0.18181818181818182,0.1111111111111111,0.1,0.4,0.17391304347826086,0.4444444444444444
YFI,21,180,0.5,0.18269230769230768,2,0.0,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.1111111111111111,0.1,0.0,0.08695652173913043,0.2222222222222222
YFI,24,300,0.8,0.20192307692307693,3,0.3,0.0,0.45454545454545453,0.45454545454545453,0.1111111111111111,0.3,0.1,0.13043478260869565,0.0
YFI,26,60,0.8,0.18269230769230768,2,0.1,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.1111111111111111,0.2,0.0,0.21739130434782608,0.3333333333333333
YFI,30,900,0.2,0.20192307692307693,9,0.1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.5652173913043478,0.6666666666666666
YFI,31,150,0.5,0.19230769230769232,1,0.4,0.2727272727272727,0.0,0.18181818181818182,0.0,0.3,0.0,0.34782608695652173,0.0
YFI,35,100,0.5,0.18269230769230768,2,0.1,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1,0.2,0.21739130434782608,0.2222222222222222
YFJ,10,100,0.2,0.19298245614035087,3,0.10526315789473684,0.11764705882352941,0.42857142857142855,0.0,0.14285714285714285,0.1875,0.3,0.3333333333333333,0.0
YFJ,12,450,0.2,0.16666666666666666,8,0.05263157894736842,0.0,0.2857142857142857,0.0,0.2857142857142857,0.25,0.1,0.4166666666666667,0.0
YFJ,20,900,0.2,0.17543859649122806,5,0.21052631578947367,0.0,0.07142857142857142,0.5,0.5714285714285714,0.125,0.2,0.08333333333333333,0.0
YFJ,22,60,0.8,0.17543859649122806,4,0.21052631578947367,0.058823529411764705,0.2857142857142857,0.5,0.14285714285714285,0.25,0.2,0.08333333333333333,0.0
YFJ,23,300,0.8,0.17543859649122806,7,0.05263157894736842,0.17647058823529413,0.21428571428571427,0.25,0.07142857142857142,0.1875,0.4,0.08333333333333333,0.375
YFJ,26,90,0.8,0.19298245614035087,2,0.15789473684210525,0.4117647058823529,0.21428571428571427,0.0,0.07142857142857142,0.25,0.2,0.0,0.25
YFJ,29,180,0.5,0.19298245614035087,4,0.15789473684210525,0.17647058823529413,0.14285714285714285,0.5,0.21428571428571427,0.125,0.2,0.3333333333333333,0.125
YFJ,43,75,0.2,0.20175438596491227,9,0.10526315789473684,0.35294117647058826,0.21428571428571427,0.0,0.21428571428571427,0.125,0.0,0.3333333333333333,0.375
YFJ,44,90,0.8,0.18421052631578946,1,0.3157894736842105,0.058823529411764705,0.21428571428571427,0.25,0.21428571428571427,0.0625,0.3,0.25,0.0
YFJ,45,180,0.8,0.20175438596491227,8,0.2631578947368421,0.23529411764705882,0.07142857142857142,0.0,0.07142857142857142,0.25,0.0,0.4166666666666667,0.375
YFJ,50,225,0.8,0.21052631578947367,7,0.21052631578947367,0.17647058823529413,0.35714285714285715,0.0,0.07142857142857142,0.125,0.4,0.3333333333333333,0.125
YFJ,55,60,0.5,0.18421052631578946,9,0.3157894736842105,0.23529411764705882,0.14285714285714285,0.0,0.0,0.1875,0.2,0.08333333333333333,0.375
YFJ,58,180,0.2,0.24561403508771928,8,0.10526315789473684,0.47058823529411764,0.21428571428571427,0.0,0.2857142857142857,0.125,0.1,0.5,0.25
YFJ,61,100,0.8,0.20175438596491227,4,0.3157894736842105,0.0,0.21428571428571427,0.75,0.21428571428571427,0.125,0.2,0.16666666666666666,0.25
